CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE,lat,lon
11045512,1/31/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,9/23/2014 8:34:08 AM,400 - 499 BLOCK OF BURBANK STREET SE,404939,135095,7,7F,SIXTH,603,33,,007703 2,007703,Precinct 103,4/5/2011 10:30:00 PM,4/5/2011 10:32:00 PM,38.8836785812289,-76.9430752762743
12182426,1/1/2013 12:15:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,4700 - 4899 BLOCK OF C STREET SE,405689.0700192320,135331.4354830180,7,7E,SIXTH,604,33,,009906 1,009906,Precinct 104,1/1/2013 12:15:00 AM,1/1/2013 12:15:00 AM,38.8858039486653,-76.9344283472627
12182465,1/1/2013 12:18:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,200 - 299 BLOCK OF 37TH PLACE SE,404182,135422,7,7F,SIXTH,603,32,,007703 3,007703,Precinct 107,1/1/2013 12:18:00 AM,1/1/2013 12:18:00 AM,38.8866282482301,-76.9517981307829
12182505,1/1/2013 2:29:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,7400  - 7499 BLOCK OF EASTERN AVENUE NW,398027,145959,4,4B,FOURTH,401,17,,,,Precinct 63,1/1/2013 2:25:00 AM,1/1/2013 2:26:00 AM,38.9815564433878,-77.0227711590278
12182534,1/1/2013 3:12:00 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,2710 - 2731 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400346,131109,8,8C,SEVENTH,707,,,010400 2,010400,Precinct 123,1/1/2013 3:12:00 AM,1/1/2013 3:12:00 AM,38.847784855043,-76.9960141627944
12182577,1/1/2013 4:23:00 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:07 AM,4200 - 4232 BLOCK OF 4TH STREET SE,399950,128916,8,8D,SEVENTH,708,39,,009811 1,009811,Precinct 125,1/1/2013 4:23:00 AM,1/1/2013 4:23:00 AM,38.8280293835434,-77.0005758286832
12182612,1/1/2013 7:30:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:08 AM,1100 - 1199 BLOCK OF 1ST TERRACE NW,399030,137469,6,6E,FIRST,103,8,,004701 1,004701,Precinct 1,1/1/2013 5:20:00 AM,1/1/2013 5:32:00 AM,38.9050777823522,-77.0111831431275
13000149,1/1/2013 4:49:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,4600 - 4615 BLOCK OF POLK STREET NE,405566.44,137941.14,7,7D,SIXTH,602,31,,009601 1,009601,Precinct 92,1/1/2013 4:49:00 PM,1/1/2013 4:49:00 PM,38.9093138916848,-76.9358206213004
13000180,1/1/2013 7:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:06 AM,1400  - 1599 BLOCK OF KENNEDY STREET NW,396973.96,143146.12,4,4C,FOURTH,403,18,,002001 2,002001,Precinct 53,12/30/2012 1:30:00 PM,12/30/2012 1:35:00 PM,38.956214347353,-77.0349122858305
13000223,1/1/2013 7:56:00 PM,EVENING,BURGLARY,GUN,9/23/2014 8:34:07 AM,6300  - 6311 BLOCK OF 5TH STREET NW,398275,144278,4,4B,FOURTH,402,17,,001901 3,001901,Precinct 59,1/1/2013 7:52:00 PM,1/1/2013 7:54:00 PM,38.966414128733,-77.0199046646023
13000446,1/2/2013 11:39:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:09 AM,4298 - 4313 BLOCK OF SOUTHERN AVENUE SE,405371,133631,7,7E,SIXTH,605,32,,009902 1,009902,Precinct 106,1/2/2013 11:39:00 AM,1/2/2013 11:39:00 AM,38.8704877615842,-76.9381076772526
13000459,1/2/2013 12:58:00 PM,DAY,ROBBERY,GUN,9/23/2014 8:34:09 AM,2200 - 2299 BLOCK OF GEORGIA AVENUE NW,398100,139069,1,1B,THIRD,306,3,,003500 2,003500,Precinct 37,1/2/2013 12:58:00 PM,1/2/2013 12:58:00 PM,38.9194896051205,-77.021909552607
13000482,1/2/2013 3:20:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,1400 - 1446 BLOCK OF BANGOR STREET SE,401079.7559989550,132522.9515444120,8,8A,SEVENTH,701,28,,007503 2,007503,Precinct 114,1/2/2013 2:05:00 PM,1/2/2013 2:55:00 PM,38.8605217431575,-76.9875592495634
13000762,1/3/2013 2:53:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,700  - 799 BLOCK OF WEBSTER STREET NW,398041,141800,4,4C,FOURTH,407,18,,002400 2,002400,Precinct 46,1/3/2013 2:13:00 AM,1/3/2013 2:18:00 AM,38.9440911577614,-77.0225976974477
13001076,1/3/2013 8:30:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,1200 - 1299 BLOCK OF PENN STREET NE,401191,137566,5,5D,FIFTH,506,23,,008802 4,008802,Precinct 77,1/3/2013 7:21:00 PM,1/3/2013 7:26:00 PM,38.9059513205791,-76.9862687767044
13001096,1/3/2013 7:56:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,4600 - 4899 BLOCK OF B STREET SE,405711,135520,7,7E,SIXTH,604,33,,009906 1,009906,Precinct 104,1/3/2013 7:56:00 PM,1/3/2013 7:56:00 PM,38.8875024668278,-76.9341740174128
13001157,1/4/2013 12:11:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,1300 - 1399 BLOCK OF T STREET NW,397329,138634,1,1B,THIRD,305,3,,004400 2,004400,Precinct 22,1/3/2013 10:50:00 PM,1/3/2013 10:50:00 PM,38.9155689767596,-77.0307985255287
13001162,1/3/2013 10:56:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:07 AM,600 - 699 BLOCK OF N STREET NW,398186,137709,6,6E,THIRD,308,7,,004802 2,004802,Precinct 18,1/3/2013 10:50:00 PM,1/3/2013 10:52:00 PM,38.9072384493271,-77.0209142642019
13001173,1/3/2013 11:54:00 PM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,708 - 799 BLOCK OF EASTERN AVENUE NE,407169.79,136808.06,7,7C,SIXTH,608,31,,,,Precinct 95,1/3/2013 11:54:00 PM,1/3/2013 11:54:00 PM,38.8990950959821,-76.9173463154569
13001332,1/4/2013 11:54:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:07 AM,CHESAPEAKE STREET SW AND SOUTH CAPITOL STREET,399333.59001334,129045.87000519,8,8D,SEVENTH,708,39,,009810 2,009810,Precinct 124,1/4/2013 11:19:00 AM,1/4/2013 11:20:00 AM,38.8291990622163,-77.007674885428
13001468,1/4/2013 4:03:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,1900 - 1919 BLOCK OF 4TH STREET NW,398491,138718,1,1B,THIRD,306,3,,003400 2,003400,Precinct 37,1/4/2013 4:03:00 PM,1/4/2013 4:03:00 PM,38.9163284400223,-77.0174000259575
13001520,1/4/2013 5:56:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,4122 - 4131 BLOCK OF MINNESOTA AVENUE NE,404647,136770,7,7D,SIXTH,602,30,,007803 1,007803,Precinct 99,1/4/2013 5:56:00 PM,,38.8987691943462,-76.9464294091045
13001552,1/4/2013 8:12:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,IVES PLACE SE AND 14TH STREET SE,401257.59471912,134586.30607433,6,6B,FIRST,106,26,,007100 2,007100,Precinct 91,1/4/2013 8:09:00 PM,1/4/2013 8:11:00 PM,38.8791090417022,-76.9855064500546
13001580,1/4/2013 9:43:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,1400 - 1499 BLOCK OF COLUMBIA ROAD NW,397044,139950,1,1A,THIRD,302,2,,002802 1,002802,Precinct 36,1/4/2013 9:25:00 PM,1/4/2013 9:28:00 PM,38.9274230168056,-77.0340904441713
13001606,1/5/2013 12:04:00 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,1400 - 1499 BLOCK OF CARROLLSBURG PLACE SW,399140,133852,6,6D,FIRST,105,9,,006400 2,006400,Precinct 127,1/5/2013 12:02:00 AM,1/5/2013 12:04:00 AM,38.872494600082,-77.0099104245833
13001608,1/4/2013 11:30:00 PM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,1800 - 1899 BLOCK OF C STREET SE,401897,135278,6,6B,FIRST,108,26,,006801 1,006801,Precinct 87,1/4/2013 11:15:00 PM,1/4/2013 11:20:00 PM,38.8853389409163,-76.978135511669
13001617,1/4/2013 11:49:00 PM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,KENILWORTH AVENUE NE AND LANE PLACE NE,405074.14816266,137417.11372495,7,7D,SIXTH,601,29,,009601 1,009601,Precinct 92,1/4/2013 11:49:00 PM,1/4/2013 11:49:00 PM,38.9045962619605,-76.9415004682138
13001648,1/5/2013 12:54:00 AM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:06 AM,2238 - 2351 BLOCK OF S STREET SE,402355.1110401380,133380.3684092080,8,8A,SEVENTH,701,34,,007605 2,007605,Precinct 112,1/5/2013 12:54:00 AM,1/5/2013 12:54:00 AM,38.8682432186952,-76.9728619066823
13001681,1/5/2013 2:23:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,5729  - 5799 BLOCK OF COLORADO AVENUE NW,397376,143540,4,4A,FOURTH,403,18,,002001 1,002001,Precinct 53,1/5/2013 2:00:00 AM,1/5/2013 2:23:00 AM,38.9597638137841,-77.0302753432393
13001696,1/5/2013 3:10:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,1310 - 1499 BLOCK OF PENNSYLVANIA AVENUE SE,401138,134783,6,6B,FIRST,106,26,CAPITOL HILL,007100 2,007100,Precinct 91,1/5/2013 2:30:00 AM,1/5/2013 2:35:00 AM,38.8808811002308,-76.986884431693
13001705,1/5/2013 4:01:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,2300 - 2399 BLOCK OF SKYLAND PLACE SE,402520,132578,8,8B,SEVENTH,702,36,,007502 1,007502,Precinct 134,1/5/2013 3:00:00 AM,1/5/2013 12:00:00 AM,38.8610146953656,-76.9709648215999
13001710,1/5/2013 4:08:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,1800 - 1841 BLOCK OF 6TH STREET NW,398274,138545,6,6E,THIRD,306,3,,004801 1,004801,Precinct 21,1/5/2013 4:06:00 AM,1/5/2013 4:07:00 AM,38.914769599055,-77.0199017816015
13001719,1/5/2013 6:45:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:08 AM,4000  - 4099 BLOCK OF 13TH STREET NW,397424,141376,4,4C,FOURTH,404,18,,002502 3,002502,Precinct 47,1/5/2013 6:37:00 AM,1/5/2013 6:38:00 AM,38.9402700513302,-77.0297133992399
13001731,1/5/2013 8:00:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:08 AM,18TH STREET NE AND MARYLAND AVENUE NE,401906.39001572,137163.63999672,5,5D,FIFTH,507,23,,008903 1,008903,Precinct 79,1/5/2013 6:10:00 AM,1/5/2013 6:30:00 AM,38.9023254597577,-76.9780220515929
13001732,1/5/2013 8:00:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:08 AM,5300 - 5399 BLOCK OF CLAY TERRACE NE,406577,136220,7,7C,SIXTH,608,31,,007808 1,007808,Precinct 96,1/5/2013 6:40:00 AM,1/5/2013 6:41:00 AM,38.8938022742543,-76.924185653907
13001736,1/5/2013 6:49:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:09 AM,N STREET NW AND ST MATTHEWS COURT NW,396474.624875,137709.911125,2,2B,SECOND,208,6,GOLDEN TRIANGLE,010700 2,010700,Precinct 15,1/5/2013 12:30:00 AM,1/5/2013 1:00:00 AM,38.9072414590122,-77.0406453316853
13001790,1/5/2013 10:50:00 AM,DAY,ROBBERY,GUN,9/23/2014 8:34:08 AM,400  - 498 BLOCK OF KENNEDY STREET NE,400063,143129,4,4B,FOURTH,406,19,,009507 1,009507,Precinct 65,1/5/2013 10:38:00 AM,1/5/2013 10:50:00 AM,38.9560653361441,-76.9992731525837
13001804,1/5/2013 10:02:00 AM,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:07 AM,1 - 99 BLOCK OF IRVING STREET NW,399171,140371,5,5E,FOURTH,405,21,,002302 1,002302,Precinct 44,1/4/2013 7:30:00 PM,1/4/2013 8:30:00 PM,38.9312200962724,-77.0095610563553
13001865,1/5/2013 3:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,1200 - 1299 BLOCK OF H STREET NE,400930,136927,6,6A,FIRST,104,25,,008402 1,008402,Precinct 82,1/1/2013 2:30:00 AM,1/1/2013 3:00:00 AM,38.9001952976382,-76.9892787512822
13001972,1/5/2013 7:25:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,700 - 999 BLOCK OF FRANKLIN STREET NE,400494,139745,5,5E,FIFTH,504,21,,009302 1,009302,Precinct 74,1/5/2013 7:25:00 PM,1/5/2013 7:25:00 PM,38.9255811454644,-76.994303029752
13001990,1/5/2013 8:13:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,800 - 899 BLOCK OF H STREET NE,400489,136927,6,6A,FIRST,104,25,,008402 2,008402,Precinct 82,1/5/2013 8:13:00 PM,1/5/2013 8:14:00 PM,38.9001956535832,-76.9943626982361
13002022,1/5/2013 9:21:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,2100 - 2199 BLOCK OF 4TH STREET NE,399950,138974,5,5E,FIFTH,502,21,,008702 1,008702,Precinct 75,1/5/2013 9:21:00 PM,1/5/2013 9:21:00 PM,38.9186358665404,-77.0005765602661
13002034,1/5/2013 10:06:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,4400 - 4699 BLOCK OF CLAY STREET NE,405462.2342110220,136225.4643798480,7,7D,SIXTH,602,30,,007803 3,007803,Precinct 98,1/5/2013 10:06:00 PM,1/5/2013 10:06:00 PM,38.8938591325793,-76.9370357259854
13002048,1/5/2013 10:32:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:07 AM,1700 - 1733 BLOCK OF EUCLID STREET NW,396565,139474,1,1C,THIRD,303,1,,003800 1,003800,Precinct 24,1/5/2013 10:32:00 PM,1/5/2013 10:32:00 PM,38.9231333164806,-77.0396121896244
13002051,1/5/2013 10:49:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:08 AM,400  - 499 BLOCK OF DECATUR STREET NW,398398.74,142289.89,4,4C,FOURTH,407,18,,002202 2,002202,Precinct 55,1/5/2013 10:40:00 PM,1/5/2013 10:49:00 PM,38.9485049492612,-77.0184721946651
